"The secret parameter is missing.","The secret parameter is missing."
"The secret parameter is invalid or malformed.","The secret parameter is invalid or malformed."
"The response parameter is missing.","The response parameter is missing."
"The response parameter is invalid or malformed.","The response parameter is invalid or malformed."
"The request is invalid or malformed.","The request is invalid or malformed."
"Something is wrong.","Something is wrong."
Yes,Yes
No,No
"Not Installed","Not Installed"
"Google Invisible Captcha","Google Invisible Captcha"
"General Settings","General Settings"
"Enable invisible captcha","Enable invisible captcha"
"Site key","Site key"
"You can generate site key <a href=""https://www.google.com/recaptcha/admin"" target=""_blank"">here</a>","You can generate site key <a href=""https://www.google.com/recaptcha/admin"" target=""_blank"">here</a>"
"Secret key","Secret key"
"You can generate secret key <a href=""https://www.google.com/recaptcha/admin"" target=""_blank"">here</a>","You can generate secret key <a href=""https://www.google.com/recaptcha/admin"" target=""_blank"">here</a>"
Language,Language
"Please leave empty to allow Google to detect a language of user agent or please set needed value from the following list of <a href=""https://developers.google.com/recaptcha/docs/language"" target=""_blank"">languages</a>","Please leave empty to allow Google to detect a language of user agent or please set needed value from the following list of <a href=""https://developers.google.com/recaptcha/docs/language"" target=""_blank"">languages</a>"
"Invisible Captcha for Amasty Extensions","Invisible Captcha for Amasty Extensions"
"Custom Form","Custom Form"
"Create customizable forms to collect additional information about your customers and view the received data from the admin panel. <a href=""https://amasty.com/custom-form-for-magento-2.html?utm_source=extension&utm_medium=link&utm_campaign=captcham2-cform2"" target=""_blank"">Learn more.</a>","Create customizable forms to collect additional information about your customers and view the received data from the admin panel. <a href=""https://amasty.com/custom-form-for-magento-2.html?utm_source=extension&utm_medium=link&utm_campaign=captcham2-cform2"" target=""_blank"">Learn more.</a>"
"FAQ and Product Questions","FAQ and Product Questions"
"Let users ask questions on product pages and use this content to widen your store semantic core. Organize questions into seo optimized, responsive and easy to navigate knowledge base. <a href=""https://amasty.com/faq-and-product-questions-for-magento-2.html?utm_source=extension&utm_medium=link&utm_campaign=captcham2-faqm2"" target=""_blank"">Learn more.</a>","Let users ask questions on product pages and use this content to widen your store semantic core. Organize questions into seo optimized, responsive and easy to navigate knowledge base. <a href=""https://amasty.com/faq-and-product-questions-for-magento-2.html?utm_source=extension&utm_medium=link&utm_campaign=captcham2-faqm2"" target=""_blank"">Learn more.</a>"
"Advanced Settings","Advanced Settings"
"Urls to enable","Urls to enable"
"For example: <strong>customer/account/createpost</strong> </br>Each url must be on new line","For example: <strong>customer/account/createpost</strong> </br>Each url must be on new line"
"Selectors for forms","Selectors for forms"
"For example: <strong>.customer-account-create .account-create form</strong> </br>Each selector must be on new line","For example: <strong>.customer-account-create .account-create form</strong> </br>Each selector must be on new line"
