"Backorders","Commande non confirmée"
Pre-Orders,Précommandes
Status,Statut
"This product is Pre-Order and cannot be shipped","Ce produit est en pré-commande et ne peut pas être expédié"
SKU:,SKU:
Ordered,Commandé
Pre-Ordered,Pré-commandé
Pre-Order,Pré-Commande
"In stock","En stock"
"Out stock","Hors stock"
"not Available","pas disponible"
"Add to Cart","Ajouter dans le panier"
Pre-order,Pré-commande
"In Stock","En Stock"
"Out Stock","Rupture de stock"
available,disponible
"Pending Pre-Order","Dans l'attente de pré-commande"
"Processing Pre-Order","Traitement pré-commande"
Preorders,Préordres
"Pre-Order Note","Note pré-commande"
"Pre-Order Status","Situation pré-commande"
"Please note that your order contains Pre-Order products. These products will be shipped to you once they are available.","Please note that your order contains Pre-Order products. These products will be shipped to you once they are available."
